tradeTime,openPrice,highPrice,lowPrice,lastPrice,priceChange,percentChange,volume,openInterest,raw
06/17/2025,2.3143,2.4128,2.3057,2.4026,+0.0804,+3.46%,"39,275","33,641","{'tradeTime': '2025-06-17', 'openPrice': 2.3143, 'highPrice': 2.4128, 'lowPrice': 2.3057, 'lastPrice': 2.4026, 'priceChange': 0.0804, 'percentChange': 0.034622340884, 'volume': 39275, 'openInterest': 33641}"
06/16/2025,2.3800,2.3943,2.2509,2.3222,+0.0198,+0.86%,"37,152","35,731","{'tradeTime': '2025-06-16', 'openPrice': 2.38, 'highPrice': 2.3943, 'lowPrice': 2.2509, 'lastPrice': 2.3222, 'priceChange': 0.0198, 'percentChange': 0.008599722029, 'volume': 37152, 'openInterest': 35731}"
06/13/2025,2.1800,2.3270,2.1792,2.3024,+0.1356,+6.26%,"55,680","36,744","{'tradeTime': '2025-06-13', 'openPrice': 2.18, 'highPrice': 2.327, 'lowPrice': 2.1792, 'lastPrice': 2.3024, 'priceChange': 0.1356, 'percentChange': 0.062580764261, 'volume': 55680, 'openInterest': 36744}"
06/12/2025,2.1849,2.1899,2.1513,2.1668,-0.0145,-0.66%,"17,892","40,258","{'tradeTime': '2025-06-12', 'openPrice': 2.1849, 'highPrice': 2.1899, 'lowPrice': 2.1513, 'lastPrice': 2.1668, 'priceChange': -0.0145, 'percentChange': -0.006647412094, 'volume': 17892, 'openInterest': 40258}"
06/11/2025,2.1154,2.1860,2.1100,2.1813,+0.0589,+2.78%,"16,052","41,800","{'tradeTime': '2025-06-11', 'openPrice': 2.1154, 'highPrice': 2.186, 'lowPrice': 2.11, 'lastPrice': 2.1813, 'priceChange': 0.0589, 'percentChange': 0.02775160196, 'volume': 16052, 'openInterest': 41800}"
06/10/2025,2.1216,2.1466,2.1133,2.1224,+0.0008,+0.04%,"13,888","39,822","{'tradeTime': '2025-06-10', 'openPrice': 2.1216, 'highPrice': 2.1466, 'lowPrice': 2.1133, 'lastPrice': 2.1224, 'priceChange': 0.0008, 'percentChange': 0.000377073906, 'volume': 13888, 'openInterest': 39822}"
06/09/2025,2.1065,2.1239,2.0994,2.1216,+0.0152,+0.72%,"11,790","39,145","{'tradeTime': '2025-06-09', 'openPrice': 2.1065, 'highPrice': 2.1239, 'lowPrice': 2.0994, 'lastPrice': 2.1216, 'priceChange': 0.0152, 'percentChange': 0.007216103304, 'volume': 11790, 'openInterest': 39145}"
06/06/2025,2.0802,2.1113,2.0710,2.1064,+0.0230,+1.10%,"12,389","38,689","{'tradeTime': '2025-06-06', 'openPrice': 2.0802, 'highPrice': 2.1113, 'lowPrice': 2.071, 'lastPrice': 2.1064, 'priceChange': 0.023, 'percentChange': 0.011039646731, 'volume': 12389, 'openInterest': 38689}"
06/05/2025,2.0628,2.0960,2.0578,2.0834,+0.0179,+0.87%,"11,301","38,728","{'tradeTime': '2025-06-05', 'openPrice': 2.0628, 'highPrice': 2.096, 'lowPrice': 2.0578, 'lastPrice': 2.0834, 'priceChange': 0.0179, 'percentChange': 0.008666182522, 'volume': 11301, 'openInterest': 38728}"
06/04/2025,2.0900,2.0966,2.0543,2.0655,-0.0267,-1.28%,"12,695","39,208","{'tradeTime': '2025-06-04', 'openPrice': 2.09, 'highPrice': 2.0966, 'lowPrice': 2.0543, 'lastPrice': 2.0655, 'priceChange': -0.0267, 'percentChange': -0.012761686263, 'volume': 12695, 'openInterest': 39208}"
06/03/2025,2.0687,2.1001,2.0557,2.0922,+0.0391,+1.90%,"16,431","38,591","{'tradeTime': '2025-06-03', 'openPrice': 2.0687, 'highPrice': 2.1001, 'lowPrice': 2.0557, 'lastPrice': 2.0922, 'priceChange': 0.0391, 'percentChange': 0.019044371925, 'volume': 16431, 'openInterest': 38591}"
06/02/2025,2.0130,2.0878,2.0130,2.0531,+0.0383,+1.90%,"10,192","38,488","{'tradeTime': '2025-06-02', 'openPrice': 2.013, 'highPrice': 2.0878, 'lowPrice': 2.013, 'lastPrice': 2.0531, 'priceChange': 0.0383, 'percentChange': 0.019009330951, 'volume': 10192, 'openInterest': 38488}"
05/30/2025,2.0414,2.0536,1.9988,2.0148,-0.0266,-1.30%,"8,774","38,306","{'tradeTime': '2025-05-30', 'openPrice': 2.0414, 'highPrice': 2.0536, 'lowPrice': 1.9988, 'lastPrice': 2.0148, 'priceChange': -0.0266, 'percentChange': -0.013030273342, 'volume': 8774, 'openInterest': 38306}"
05/29/2025,2.0743,2.1033,2.0345,2.0414,-0.0360,-1.73%,"9,961","38,363","{'tradeTime': '2025-05-29', 'openPrice': 2.0743, 'highPrice': 2.1033, 'lowPrice': 2.0345, 'lastPrice': 2.0414, 'priceChange': -0.036, 'percentChange': -0.017329354, 'volume': 9961, 'openInterest': 38363}"
05/28/2025,2.0642,2.0960,2.0577,2.0774,+0.0200,+0.97%,"8,084","37,636","{'tradeTime': '2025-05-28', 'openPrice': 2.0642, 'highPrice': 2.096, 'lowPrice': 2.0577, 'lastPrice': 2.0774, 'priceChange': 0.02, 'percentChange': 0.009721007096, 'volume': 8084, 'openInterest': 37636}"
05/27/2025,2.0877,2.0947,2.0483,2.0574,-0.0219,-1.05%,"8,225","38,303","{'tradeTime': '2025-05-27', 'openPrice': 2.0877, 'highPrice': 2.0947, 'lowPrice': 2.0483, 'lastPrice': 2.0574, 'priceChange': -0.0219, 'percentChange': -0.010532390708, 'volume': 8225, 'openInterest': 38303}"
05/23/2025,2.0745,2.0850,2.0497,2.0793,-0.0006,-0.03%,"8,251","37,570","{'tradeTime': '2025-05-23', 'openPrice': 2.0745, 'highPrice': 2.085, 'lowPrice': 2.0497, 'lastPrice': 2.0793, 'priceChange': -0.0006, 'percentChange': -0.000288475407, 'volume': 8251, 'openInterest': 37570}"
05/22/2025,2.0958,2.0958,2.0524,2.0799,-0.0168,-0.80%,"11,722","36,718","{'tradeTime': '2025-05-22', 'openPrice': 2.0958, 'highPrice': 2.0958, 'lowPrice': 2.0524, 'lastPrice': 2.0799, 'priceChange': -0.0168, 'percentChange': -0.008012591215, 'volume': 11722, 'openInterest': 36718}"
05/21/2025,2.1004,2.1390,2.0816,2.0967,+0.0044,+0.21%,"10,674","35,592","{'tradeTime': '2025-05-21', 'openPrice': 2.1004, 'highPrice': 2.139, 'lowPrice': 2.0816, 'lastPrice': 2.0967, 'priceChange': 0.0044, 'percentChange': 0.002102948908, 'volume': 10674, 'openInterest': 35592}"
05/20/2025,2.0894,2.1020,2.0753,2.0923,+0.0055,+0.26%,"8,272","34,749","{'tradeTime': '2025-05-20', 'openPrice': 2.0894, 'highPrice': 2.102, 'lowPrice': 2.0753, 'lastPrice': 2.0923, 'priceChange': 0.0055, 'percentChange': 0.002635614338, 'volume': 8272, 'openInterest': 34749}"
05/19/2025,2.0924,2.1016,2.0730,2.0868,-0.0117,-0.56%,"8,652","33,431","{'tradeTime': '2025-05-19', 'openPrice': 2.0924, 'highPrice': 2.1016, 'lowPrice': 2.073, 'lastPrice': 2.0868, 'priceChange': -0.0117, 'percentChange': -0.005575411008, 'volume': 8652, 'openInterest': 33431}"
05/16/2025,2.0977,2.1073,2.0704,2.0985,unch,unch,"14,588","32,517","{'tradeTime': '2025-05-16', 'openPrice': 2.0977, 'highPrice': 2.1073, 'lowPrice': 2.0704, 'lastPrice': 2.0985, 'priceChange': 0, 'percentChange': 0, 'volume': 14588, 'openInterest': 32517}"
05/15/2025,2.1240,2.1241,2.0782,2.0985,-0.0428,-2.00%,"17,453","31,483","{'tradeTime': '2025-05-15', 'openPrice': 2.124, 'highPrice': 2.1241, 'lowPrice': 2.0782, 'lastPrice': 2.0985, 'priceChange': -0.0428, 'percentChange': -0.019987857843, 'volume': 17453, 'openInterest': 31483}"
05/14/2025,2.1362,2.1455,2.1179,2.1413,+0.0020,+0.09%,"22,824","32,044","{'tradeTime': '2025-05-14', 'openPrice': 2.1362, 'highPrice': 2.1455, 'lowPrice': 2.1179, 'lastPrice': 2.1413, 'priceChange': 0.002, 'percentChange': 0.000934885243, 'volume': 22824, 'openInterest': 32044}"
05/13/2025,2.0933,2.1417,2.0880,2.1393,+0.0436,+2.08%,"15,167","32,317","{'tradeTime': '2025-05-13', 'openPrice': 2.0933, 'highPrice': 2.1417, 'lowPrice': 2.088, 'lastPrice': 2.1393, 'priceChange': 0.0436, 'percentChange': 0.020804504462, 'volume': 15167, 'openInterest': 32317}"
05/12/2025,2.0688,2.1214,2.0622,2.0957,+0.0339,+1.64%,"12,715","30,838","{'tradeTime': '2025-05-12', 'openPrice': 2.0688, 'highPrice': 2.1214, 'lowPrice': 2.0622, 'lastPrice': 2.0957, 'priceChange': 0.0339, 'percentChange': 0.016441943932, 'volume': 12715, 'openInterest': 30838}"
05/09/2025,2.0506,2.0720,2.0407,2.0618,+0.0211,+1.03%,"10,095","29,892","{'tradeTime': '2025-05-09', 'openPrice': 2.0506, 'highPrice': 2.072, 'lowPrice': 2.0407, 'lastPrice': 2.0618, 'priceChange': 0.0211, 'percentChange': 0.010339589357, 'volume': 10095, 'openInterest': 29892}"
05/08/2025,1.9937,2.0515,1.9919,2.0407,+0.0431,+2.16%,"11,696","29,703","{'tradeTime': '2025-05-08', 'openPrice': 1.9937, 'highPrice': 2.0515, 'lowPrice': 1.9919, 'lastPrice': 2.0407, 'priceChange': 0.0431, 'percentChange': 0.021575891069, 'volume': 11696, 'openInterest': 29703}"
05/07/2025,2.0306,2.0484,1.9919,1.9976,-0.0322,-1.59%,"11,687","28,489","{'tradeTime': '2025-05-07', 'openPrice': 2.0306, 'highPrice': 2.0484, 'lowPrice': 1.9919, 'lastPrice': 1.9976, 'priceChange': -0.0322, 'percentChange': -0.015863631885, 'volume': 11687, 'openInterest': 28489}"
05/06/2025,1.9977,2.0462,1.9964,2.0298,+0.0352,+1.76%,"10,692","28,340","{'tradeTime': '2025-05-06', 'openPrice': 1.9977, 'highPrice': 2.0462, 'lowPrice': 1.9964, 'lastPrice': 2.0298, 'priceChange': 0.0352, 'percentChange': 0.017647648651, 'volume': 10692, 'openInterest': 28340}"
05/05/2025,1.9601,2.0074,1.9581,1.9946,-0.0177,-0.88%,"10,690","27,691","{'tradeTime': '2025-05-05', 'openPrice': 1.9601, 'highPrice': 2.0074, 'lowPrice': 1.9581, 'lastPrice': 1.9946, 'priceChange': -0.0177, 'percentChange': -0.008795905183, 'volume': 10690, 'openInterest': 27691}"
05/02/2025,2.0242,2.0410,1.9964,2.0123,-0.0178,-0.88%,"8,688","26,599","{'tradeTime': '2025-05-02', 'openPrice': 2.0242, 'highPrice': 2.041, 'lowPrice': 1.9964, 'lastPrice': 2.0123, 'priceChange': -0.0178, 'percentChange': -0.008768040983, 'volume': 8688, 'openInterest': 26599}"
05/01/2025,2.0212,2.0366,1.9797,2.0301,+0.0137,+0.68%,"8,620","26,336","{'tradeTime': '2025-05-01', 'openPrice': 2.0212, 'highPrice': 2.0366, 'lowPrice': 1.9797, 'lastPrice': 2.0301, 'priceChange': 0.0137, 'percentChange': 0.006794286848, 'volume': 8620, 'openInterest': 26336}"
04/30/2025,2.0680,2.0689,2.0124,2.0164,-0.0540,-2.61%,"11,022","26,618","{'tradeTime': '2025-04-30', 'openPrice': 2.068, 'highPrice': 2.0689, 'lowPrice': 2.0124, 'lastPrice': 2.0164, 'priceChange': -0.054, 'percentChange': -0.026081916538, 'volume': 11022, 'openInterest': 26618}"
04/29/2025,2.0977,2.1027,2.0626,2.0704,-0.0275,-1.31%,"8,966","26,674","{'tradeTime': '2025-04-29', 'openPrice': 2.0977, 'highPrice': 2.1027, 'lowPrice': 2.0626, 'lastPrice': 2.0704, 'priceChange': -0.0275, 'percentChange': -0.013108346442, 'volume': 8966, 'openInterest': 26674}"
04/28/2025,2.1170,2.1287,2.0891,2.0979,-0.0150,-0.71%,"6,079","26,701","{'tradeTime': '2025-04-28', 'openPrice': 2.117, 'highPrice': 2.1287, 'lowPrice': 2.0891, 'lastPrice': 2.0979, 'priceChange': -0.015, 'percentChange': -0.00709924748, 'volume': 6079, 'openInterest': 26701}"
04/25/2025,2.1084,2.1224,2.0895,2.1129,+0.0090,+0.43%,"8,071","26,345","{'tradeTime': '2025-04-25', 'openPrice': 2.1084, 'highPrice': 2.1224, 'lowPrice': 2.0895, 'lastPrice': 2.1129, 'priceChange': 0.009, 'percentChange': 0.004277769856, 'volume': 8071, 'openInterest': 26345}"
04/24/2025,2.0834,2.1076,2.0808,2.1039,+0.0193,+0.93%,"4,845","25,926","{'tradeTime': '2025-04-24', 'openPrice': 2.0834, 'highPrice': 2.1076, 'lowPrice': 2.0808, 'lastPrice': 2.1039, 'priceChange': 0.0193, 'percentChange': 0.00925837091, 'volume': 4845, 'openInterest': 25926}"
04/23/2025,2.1166,2.1331,2.0618,2.0846,-0.0194,-0.92%,"9,607","26,080","{'tradeTime': '2025-04-23', 'openPrice': 2.1166, 'highPrice': 2.1331, 'lowPrice': 2.0618, 'lastPrice': 2.0846, 'priceChange': -0.0194, 'percentChange': -0.009220532319, 'volume': 9607, 'openInterest': 26080}"
04/22/2025,2.0821,2.1156,2.0821,2.1040,+0.0318,+1.53%,"5,858","26,176","{'tradeTime': '2025-04-22', 'openPrice': 2.0821, 'highPrice': 2.1156, 'lowPrice': 2.0821, 'lastPrice': 2.104, 'priceChange': 0.0318, 'percentChange': 0.015346009072, 'volume': 5858, 'openInterest': 26176}"
04/21/2025,2.1009,2.1009,2.0629,2.0722,-0.0420,-1.99%,"4,130","26,075","{'tradeTime': '2025-04-21', 'openPrice': 2.1009, 'highPrice': 2.1009, 'lowPrice': 2.0629, 'lastPrice': 2.0722, 'priceChange': -0.042, 'percentChange': -0.01986567023, 'volume': 4130, 'openInterest': 26075}"
04/17/2025,2.0781,2.1235,2.0734,2.1142,+0.0441,+2.13%,"7,126","25,934","{'tradeTime': '2025-04-17', 'openPrice': 2.0781, 'highPrice': 2.1235, 'lowPrice': 2.0734, 'lastPrice': 2.1142, 'priceChange': 0.0441, 'percentChange': 0.02130331868, 'volume': 7126, 'openInterest': 25934}"
04/16/2025,2.0551,2.0780,2.0294,2.0701,+0.0246,+1.20%,"6,813","25,675","{'tradeTime': '2025-04-16', 'openPrice': 2.0551, 'highPrice': 2.078, 'lowPrice': 2.0294, 'lastPrice': 2.0701, 'priceChange': 0.0246, 'percentChange': 0.012026399413, 'volume': 6813, 'openInterest': 25675}"
04/15/2025,2.0541,2.0663,2.0393,2.0455,-0.0079,-0.38%,"7,812","25,395","{'tradeTime': '2025-04-15', 'openPrice': 2.0541, 'highPrice': 2.0663, 'lowPrice': 2.0393, 'lastPrice': 2.0455, 'priceChange': -0.0079, 'percentChange': -0.003847277686, 'volume': 7812, 'openInterest': 25395}"
04/14/2025,2.0510,2.0730,2.0356,2.0534,+0.0154,+0.76%,"6,384","26,383","{'tradeTime': '2025-04-14', 'openPrice': 2.051, 'highPrice': 2.073, 'lowPrice': 2.0356, 'lastPrice': 2.0534, 'priceChange': 0.0154, 'percentChange': 0.00755642787, 'volume': 6384, 'openInterest': 26383}"
04/11/2025,2.0239,2.0477,2.0082,2.0380,+0.0153,+0.76%,"8,502","27,307","{'tradeTime': '2025-04-11', 'openPrice': 2.0239, 'highPrice': 2.0477, 'lowPrice': 2.0082, 'lastPrice': 2.038, 'priceChange': 0.0153, 'percentChange': 0.007564146932, 'volume': 8502, 'openInterest': 27307}"
04/10/2025,2.0838,2.0887,1.9988,2.0227,-0.0552,-2.66%,"12,987","27,535","{'tradeTime': '2025-04-10', 'openPrice': 2.0838, 'highPrice': 2.0887, 'lowPrice': 1.9988, 'lastPrice': 2.0227, 'priceChange': -0.0552, 'percentChange': -0.026565282256, 'volume': 12987, 'openInterest': 27535}"
04/09/2025,1.9901,2.0919,1.9157,2.0779,+0.0637,+3.16%,"26,620","27,890","{'tradeTime': '2025-04-09', 'openPrice': 1.9901, 'highPrice': 2.0919, 'lowPrice': 1.9157, 'lastPrice': 2.0779, 'priceChange': 0.0637, 'percentChange': 0.031625459239, 'volume': 26620, 'openInterest': 27890}"
04/08/2025,2.0566,2.0706,1.9840,2.0142,-0.0304,-1.49%,"13,322","26,575","{'tradeTime': '2025-04-08', 'openPrice': 2.0566, 'highPrice': 2.0706, 'lowPrice': 1.984, 'lastPrice': 2.0142, 'priceChange': -0.0304, 'percentChange': -0.014868433924, 'volume': 13322, 'openInterest': 26575}"
04/07/2025,2.0340,2.1102,1.9969,2.0446,-0.0151,-0.73%,"14,569","26,167","{'tradeTime': '2025-04-07', 'openPrice': 2.034, 'highPrice': 2.1102, 'lowPrice': 1.9969, 'lastPrice': 2.0446, 'priceChange': -0.0151, 'percentChange': -0.007331164733, 'volume': 14569, 'openInterest': 26167}"
04/04/2025,2.1566,2.1634,2.0277,2.0597,-0.1066,-4.92%,"19,733","25,166","{'tradeTime': '2025-04-04', 'openPrice': 2.1566, 'highPrice': 2.1634, 'lowPrice': 2.0277, 'lastPrice': 2.0597, 'priceChange': -0.1066, 'percentChange': -0.049208327563, 'volume': 19733, 'openInterest': 25166}"
04/03/2025,2.2449,2.2449,2.1445,2.1663,-0.1201,-5.25%,"15,886","24,518","{'tradeTime': '2025-04-03', 'openPrice': 2.2449, 'highPrice': 2.2449, 'lowPrice': 2.1445, 'lastPrice': 2.1663, 'priceChange': -0.1201, 'percentChange': -0.052527991603, 'volume': 15886, 'openInterest': 24518}"
04/02/2025,2.2636,2.2974,2.2542,2.2864,+0.0223,+0.98%,"10,838","24,918","{'tradeTime': '2025-04-02', 'openPrice': 2.2636, 'highPrice': 2.2974, 'lowPrice': 2.2542, 'lastPrice': 2.2864, 'priceChange': 0.0223, 'percentChange': 0.009849388278, 'volume': 10838, 'openInterest': 24918}"
04/01/2025,2.2604,2.2732,2.2553,2.2641,+0.0037,+0.16%,"10,376","23,459","{'tradeTime': '2025-04-01', 'openPrice': 2.2604, 'highPrice': 2.2732, 'lowPrice': 2.2553, 'lastPrice': 2.2641, 'priceChange': 0.0037, 'percentChange': 0.001636878429, 'volume': 10376, 'openInterest': 23459}"
03/31/2025,2.2219,2.2650,2.2055,2.2604,+0.0469,+2.12%,"4,649","23,677","{'tradeTime': '2025-03-31', 'openPrice': 2.2219, 'highPrice': 2.265, 'lowPrice': 2.2055, 'lastPrice': 2.2604, 'priceChange': 0.0469, 'percentChange': 0.021188163542, 'volume': 4649, 'openInterest': 23677}"
03/28/2025,2.2321,2.2355,2.2056,2.2135,-0.0197,-0.88%,"3,068","23,956","{'tradeTime': '2025-03-28', 'openPrice': 2.2321, 'highPrice': 2.2355, 'lowPrice': 2.2056, 'lastPrice': 2.2135, 'priceChange': -0.0197, 'percentChange': -0.008821422174, 'volume': 3068, 'openInterest': 23956}"
03/27/2025,2.2252,2.2339,2.2121,2.2332,+0.0099,+0.45%,"3,467","24,031","{'tradeTime': '2025-03-27', 'openPrice': 2.2252, 'highPrice': 2.2339, 'lowPrice': 2.2121, 'lastPrice': 2.2332, 'priceChange': 0.0099, 'percentChange': 0.004452840372, 'volume': 3467, 'openInterest': 24031}"
03/26/2025,2.2157,2.2338,2.2087,2.2233,+0.0132,+0.60%,"5,653","23,603","{'tradeTime': '2025-03-26', 'openPrice': 2.2157, 'highPrice': 2.2338, 'lowPrice': 2.2087, 'lastPrice': 2.2233, 'priceChange': 0.0132, 'percentChange': 0.005972580426, 'volume': 5653, 'openInterest': 23603}"
03/25/2025,2.2020,2.2208,2.1934,2.2101,+0.0085,+0.39%,"7,579","23,396","{'tradeTime': '2025-03-25', 'openPrice': 2.202, 'highPrice': 2.2208, 'lowPrice': 2.1934, 'lastPrice': 2.2101, 'priceChange': 0.0085, 'percentChange': 0.003860828488, 'volume': 7579, 'openInterest': 23396}"
03/24/2025,2.1991,2.2102,2.1878,2.2016,+0.0082,+0.37%,"5,259","23,013","{'tradeTime': '2025-03-24', 'openPrice': 2.1991, 'highPrice': 2.2102, 'lowPrice': 2.1878, 'lastPrice': 2.2016, 'priceChange': 0.0082, 'percentChange': 0.003738488192, 'volume': 5259, 'openInterest': 23013}"
03/21/2025,2.2018,2.2031,2.1814,2.1934,-0.0001,unch,"3,201","23,071","{'tradeTime': '2025-03-21', 'openPrice': 2.2018, 'highPrice': 2.2031, 'lowPrice': 2.1814, 'lastPrice': 2.1934, 'priceChange': -0.0001, 'percentChange': -4.5589241e-05, 'volume': 3201, 'openInterest': 23071}"
03/20/2025,2.1756,2.2001,2.1598,2.1935,+0.0215,+0.99%,"3,033","23,352","{'tradeTime': '2025-03-20', 'openPrice': 2.1756, 'highPrice': 2.2001, 'lowPrice': 2.1598, 'lastPrice': 2.1935, 'priceChange': 0.0215, 'percentChange': 0.009898710866, 'volume': 3033, 'openInterest': 23352}"
03/19/2025,2.1581,2.1822,2.1460,2.1720,+0.0135,+0.63%,"5,430","23,422","{'tradeTime': '2025-03-19', 'openPrice': 2.1581, 'highPrice': 2.1822, 'lowPrice': 2.146, 'lastPrice': 2.172, 'priceChange': 0.0135, 'percentChange': 0.006254343294, 'volume': 5430, 'openInterest': 23422}"
